Molecule,Radical Y,Radical Z,Bond Index,Bond Type,BDE
NCCCC(=O)O,[CH2]CCC(=O)O,[NH2],0,C-N,87.59900138
NCCCC(=O)O,[CH2]CC(=O)O,[CH2]N,1,C-C,82.34424102
NCCCC(=O)O,[CH2]C(=O)O,[CH2]CN,2,C-C,86.31386295
NCCCC(=O)O,O=[C]O,[CH2]CCN,3,C-C,95.89843542
NCCCC(=O)O,NCCC[C]=O,[OH],5,C-O,111.4085754
NCCCC(=O)O,[H],[NH]CCCC(=O)O,6,H-N,99.73251541
NCCCC(=O)O,[H],N[CH]CCC(=O)O,8,C-H,93.32251097
NCCCC(=O)O,[H],NC[CH]CC(=O)O,10,C-H,96.53974961
NCCCC(=O)O,[H],NCC[CH]C(=O)O,12,C-H,92.97298846
NCCCC(=O)O,[H],NCCCC([O])=O,14,H-O,113.0099783
CCOc1cccc(O)c1,[CH2]Oc1cccc(O)c1,[CH3],0,C-C,89.04729215
CCOc1cccc(O)c1,[O]c1cccc(O)c1,[CH2]C,1,C-O,70.559622
CCOc1cccc(O)c1,CC[O],Oc1c[c]ccc1,2,C-O,102.3755833
CCOc1cccc(O)c1,[OH],CCOc1c[c]ccc1,7,C-O,112.9189895
CCOc1cccc(O)c1,[H],[CH2]COc1cccc(O)c1,10,C-H,101.5742543
CCOc1cccc(O)c1,[H],C[CH]Oc1cccc(O)c1,13,C-H,94.9069712
CCOc1cccc(O)c1,[H],CCOc1[c]ccc(O)c1,15,C-H,114.1056091
CCOc1cccc(O)c1,[H],CCOc1c[c]cc(O)c1,16,C-H,110.7980091
CCOc1cccc(O)c1,[H],CCOc1cc[c]c(O)c1,17,C-H,112.8574936
CCOc1cccc(O)c1,[H],CCOc1cccc([O])c1,18,H-O,87.9140109
CCOc1cccc(O)c1,[H],CCOc1[c]c(O)ccc1,19,C-H,114.3233547
CC(C)(C)O,C[C](C)O,[CH3],0,C-C,85.55771461
CC(C)(C)O,C[C](C)C,[OH],3,C-O,96.46382103
CC(C)(C)O,[H],[CH2]C(C)(C)O,4,C-H,100.991926
CC(C)(C)O,[H],CC(C)(C)[O],13,H-O,104.3679244
C,[H],[CH3],0,C-H,103.8332867
C[C@H](O)C(=O)O,C[C@H](O)[C]=O,[OH],4,C-O,112.5518968
C[C@H](O)C(=O)O,[H],[CH2][C@H](O)C(=O)O,5,C-H,104.337804
C[C@H](O)C(=O)O,[H],C[C@H]([O])C(=O)O,9,H-O,107.3511022
O=c1cc(CO)occ1O,[CH2]O,O=c1c[c]occ1O,3,C-C,109.6791606
O=c1cc(CO)occ1O,[CH2]c1cc(=O)c(O)co1,[OH],4,C-O,83.26416921
O=c1cc(CO)occ1O,O=c1[c]coc(CO)c1,[OH],8,C-O,119.537327
O=c1cc(CO)occ1O,[H],O=c1[c]c(CO)occ1O,10,C-H,115.5877853
O=c1cc(CO)occ1O,[H],O=c1cc([CH]O)occ1O,11,C-H,79.10692209
O=c1cc(CO)occ1O,[H],[O]Cc1cc(=O)c(O)co1,13,H-O,104.6477934
O=c1cc(CO)occ1O,[H],O=c1cc(CO)o[c]c1O,14,C-H,114.4588966
O=c1cc(CO)occ1O,[H],[O]c1coc(CO)cc1=O,15,H-O,93.13802333
O=C[C@H](O)[C@H](O)[C@H](O)CO,[CH2][C@@H](O)[C@@H](O)[C@@H](O)C=O,[OH],8,C-O,98.24845662
O=C[C@H](O)[C@H](O)[C@H](O)CO,[H],O=[C][C@H](O)[C@H](O)[C@H](O)CO,9,C-H,92.46909873
O=C[C@H](O)[C@H](O)[C@H](O)CO,[H],[O][C@@H](C=O)[C@H](O)[C@H](O)CO,11,H-O,109.2668872
O=C[C@H](O)[C@H](O)[C@H](O)CO,[H],[O][C@@H]([C@@H](O)C=O)[C@H](O)CO,13,H-O,111.1632193
O=C[C@H](O)[C@H](O)[C@H](O)CO,[H],[O][C@H](CO)[C@@H](O)[C@@H](O)C=O,15,H-O,109.502203
O=C[C@H](O)[C@H](O)[C@H](O)CO,[H],O=C[C@H](O)[C@H](O)[C@H](O)[CH]O,16,C-H,93.01189402
O=C[C@H](O)[C@H](O)[C@H](O)CO,[H],[O]C[C@@H](O)[C@@H](O)[C@@H](O)C=O,18,H-O,109.2179414
CO,[CH3],[OH],0,C-O,93.34823884
CO,[H],[CH2]O,1,C-H,94.95654441
CO,[H],C[O],4,H-O,101.9225218
O=CCCCC(=O)O,[CH2]CCC(=O)O,[CH]=O,1,C-C,84.69928229
O=CCCCC(=O)O,[CH2]CC(=O)O,[CH2]C=O,2,C-C,82.61595241
O=CCCCC(=O)O,[CH2]C(=O)O,[CH2]CC=O,3,C-C,85.73467214
O=CCCCC(=O)O,O=[C]O,[CH2]CCC=O,4,C-C,95.40521334
O=CCCCC(=O)O,O=[C]CCCC=O,[OH],6,C-O,111.4625411
O=CCCCC(=O)O,[H],O=[C]CCCC(=O)O,7,C-H,88.39593781
O=CCCCC(=O)O,[H],O=C[CH]CCC(=O)O,8,C-H,92.29778877
O=CCCCC(=O)O,[H],O=CC[CH]CC(=O)O,10,C-H,98.50636282
O=CCCCC(=O)O,[H],O=CCC[CH]C(=O)O,12,C-H,92.67743172
O=CCCCC(=O)O,[H],[O]C(=O)CCCC=O,14,H-O,114.0416031
CN=C(N)N,[N]=C(N)N,[CH3],0,C-N,81.97903078
CN=C(N)N,CN=[C]N,[NH2],2,C-N,98.10914962
CN=C(N)N,[H],[CH2]N=C(N)N,4,C-H,87.90271574
CC,[CH3],[CH3],0,C-C,90.66563787
CC,[H],[CH2]C,1,C-H,99.83542688
C[C@@H]1CCCCO1,[H],[CH2][C@@H]1CCCCO1,7,C-H,102.1201872
C[C@@H]1CCCCO1,[H],C[C@@H]1[CH]CCCO1,11,C-H,99.0140176
C[C@@H]1CCCCO1,[H],C[C@@H]1C[CH]CCO1,13,C-H,97.49481831
C[C@@H]1CCCCO1,[H],C[C@@H]1CC[CH]CO1,15,C-H,98.79313443
C[C@@H]1CCCCO1,[H],C[C@@H]1CCC[CH]O1,17,C-H,94.57188139
C=O,[H],[CH]=O,1,C-H,87.3837658
