Molecule,Radical Y,Radical Z,Bond Index,Bond Type,BDE,BDFE,BDSCFE,SET
Br/C1=C\CCCCCC1,[Br],[C]1=CCCCCCC1,0,Br-C,80.6141987,70.66567102,82.42686628,train
Br/C1=C\CCCCCC1,[H],Br/C1=[C]\CCCCCC1,9,C-H,107.1170413,98.25284918,113.9053638,train
Br/C1=C\CCCCCC1,[H],Br/C1=C\[CH]CCCCC1,10,C-H,87.1679027,77.98179845,94.30747151,train
Br/C1=C\CCCCCC1,[H],Br/C1=C\C[CH]CCCC1,12,C-H,96.10300335,86.8472456,103.8761753,train
Br/C1=C\CCCCCC1,[H],Br/C1=C\CC[CH]CCC1,14,C-H,95.15483725,86.09988238,102.7849377,train
Br/C1=C\CCCCCC1,[H],Br/C1=C\CCC[CH]CC1,16,C-H,94.84296528,85.89029438,102.4634964,train
Br/C1=C\CCCCCC1,[H],Br/C1=C\CCCC[CH]C1,18,C-H,95.73465557,86.56361153,103.4913933,train
Br/C1=C\CCCCCC1,[H],Br/C1=C\CCCCC[CH]1,20,C-H,89.83105089,80.64682917,97.54502084,train
Br/C=C/C1CCCCC1,[Br],[CH]=CC1CCCCC1,0,Br-C,81.10616576,71.73682888,83.20538677,train
Br/C=C/C1CCCCC1,[CH]1CCCCC1,[CH]=CBr,2,C-C,98.31246254,84.13326918,103.4824574,train
Br/C=C/C1CCCCC1,[H],Br/[C]=C/C1CCCCC1,9,C-H,107.5437474,98.96883695,114.1609543,train
Br/C=C/C1CCCCC1,[H],Br/C=[C]/C1CCCCC1,10,C-H,107.130219,97.94097721,114.055194,train
Br/C=C/C1CCCCC1,[H],Br/C=C/[C]1CCCCC1,11,C-H,82.09323742,73.4813039,89.11415968,train
Br/C=C/C1CCCCC1,[H],Br/C=C/C1[CH]CCCC1,12,C-H,97.90395418,88.82264393,105.48512,train
Br/C=C/C1CCCCC1,[H],Br/C=C/C1C[CH]CCC1,14,C-H,97.43457745,88.32753933,105.045067,train
Br/C=C/C1CCCCC1,[H],Br/C=C/C1CC[CH]CC1,16,C-H,97.6052599,88.55030503,105.1815439,train
Br/C=C/Cc1ccccc1,[Br],[CH]=CCc1ccccc1,0,Br-C,81.03776728,71.35279337,83.08039332,train
Br/C=C/Cc1ccccc1,[CH2]c1ccccc1,[CH]=CBr,2,C-C,88.33193189,75.579694,93.51743793,train
Br/C=C/Cc1ccccc1,[CH2]/C=C/Br,[c]1ccccc1,3,C-C,86.8196352,73.98644865,91.1992051,train
Br/C=C/Cc1ccccc1,[H],Br/[C]=C/Cc1ccccc1,10,C-H,107.6510515,98.99142728,114.256505,train
Br/C=C/Cc1ccccc1,[H],Br/C=[C]/Cc1ccccc1,11,C-H,107.6585816,98.4906751,114.7102691,train
Br/C=C/Cc1ccccc1,[H],Br/C=C/[CH]c1ccccc1,12,C-H,77.37060468,69.61333842,84.3303851,train
Br/C=C/Cc1ccccc1,[H],Br/C=C/Cc1[c]cccc1,14,C-H,111.0220298,102.4853974,117.662986,train
Br/C=C/Cc1ccccc1,[H],Br/C=C/Cc1c[c]ccc1,15,C-H,111.0006945,102.3674257,117.7162489,train
Br/C=C/Cc1ccccc1,[H],Br/C=C/Cc1cc[c]cc1,16,C-H,111.3734349,102.8255073,118.08048,train
Br/C=C/[C@@H]1CC=CCC1,[Br],[CH]=C[C@@H]1CC=CCC1,0,Br-C,81.0672602,71.73243632,83.15511705,train
Br/C=C/[C@@H]1CC=CCC1,[CH]1CC=CCC1,[CH]=CBr,2,C-C,98.07400912,83.93936889,103.294816,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/[C]=C/[C@@H]1CC=CCC1,9,C-H,107.2331305,98.75234635,113.8835265,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/C=[C]/[C@@H]1CC=CCC1,10,C-H,107.1898324,98.03447605,114.1405289,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/C=C/[C]1CC=CCC1,11,C-H,81.79517064,73.14746911,88.93040632,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/C=C/[C@@H]1[CH]C=CCC1,12,C-H,84.10314874,75.49435277,91.43702729,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/C=C/[C@@H]1C[C]=CCC1,14,C-H,107.9428432,99.44323376,114.6642853,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/C=C/[C@@H]1CC=[C]CC1,15,C-H,108.1794141,99.6973749,114.9059451,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/C=C/[C@H]1C[CH]C=CC1,16,C-H,83.43296913,74.84990103,90.84370531,train
Br/C=C/[C@@H]1CC=CCC1,[H],Br/C=C/[C@H]1[CH]CC=CC1,18,C-H,97.80606278,88.72349751,105.4766361,train
Br/C=C/[C@H]1CC=CCC1,[Br],[CH]=C[C@H]1CC=CCC1,0,Br-C,80.61357119,71.43499705,82.72940389,train
Br/C=C/[C@H]1CC=CCC1,[CH]1CC=CCC1,[CH]=CBr,2,C-C,98.06522399,83.88979568,103.2969997,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/[C]=C/[C@H]1CC=CCC1,9,C-H,107.2174428,98.68708541,113.8927885,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/C=[C]/[C@H]1CC=CCC1,10,C-H,107.2117952,98.0520463,114.1439927,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/C=C/[C]1CC=CCC1,11,C-H,81.78638551,73.0978959,88.93259005,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/C=C/[C@H]1[CH]C=CCC1,12,C-H,84.10189372,75.47364498,91.43796228,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/C=C/[C@H]1C[C]=CCC1,14,C-H,107.930293,99.34283232,114.6680127,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/C=C/[C@H]1CC=[C]CC1,15,C-H,108.1794141,99.6415266,114.9088756,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/C=C/[C@@H]1C[CH]C=CC1,16,C-H,83.42230148,74.85805865,90.83638856,train
Br/C=C/[C@H]1CC=CCC1,[H],Br/C=C/[C@@H]1[CH]CC=CC1,18,C-H,97.83681072,88.7649131,105.4775711,train
Br/C=C/c1ccccn1,[Br],[CH]=Cc1ccccn1,0,Br-C,81.20280215,71.83660281,83.28330829,train
Br/C=C/c1ccccn1,[CH]=CBr,[c]1ccccn1,2,C-C,111.3508445,97.57137441,115.5651911,train
Br/C=C/c1ccccn1,[H],Br/[C]=C/c1ccccn1,9,C-H,109.2330017,100.5633373,115.8850469,train
Br/C=C/c1ccccn1,[H],Br/C=[C]/c1ccccn1,10,C-H,110.1780302,100.5834176,117.0454108,train
Br/C=C/c1ccccn1,[H],Br/C=C/c1[c]cccn1,11,C-H,112.2350047,103.6726444,118.8851093,train
